combo,name,epochs,seed,n,cv_mae,cv_rmse
1,Combo 1 Baseline,30,663,94,0.193312184607729,0.3155709080974797
1,Combo 1 Baseline,30,6311,94,0.1980339745257763,0.29542028392643144
1,Combo 1 Baseline,30,6890,94,0.30217540010492855,0.9601520754624794
1,Combo 1 Baseline,50,663,94,0.18901862235779457,0.30552700074228556
1,Combo 1 Baseline,50,6311,94,0.1928583282105466,0.2923446953020967
1,Combo 1 Baseline,50,6890,94,0.28629664157299284,0.981129379334519
1,Combo 1 Baseline,80,663,94,0.15662138005520435,0.24161027032155996
1,Combo 1 Baseline,80,6311,94,0.1793727545028037,0.27690661836408476
1,Combo 1 Baseline,80,6890,94,0.2671970915287099,0.9527365846771515
2,Combo 2 +Phase feat,30,663,94,0.19404166810055998,0.3101051865289996
2,Combo 2 +Phase feat,30,6311,94,0.16753053411524346,0.2470552708649573
2,Combo 2 +Phase feat,30,6890,94,0.35184738610653166,1.5375854634514077
2,Combo 2 +Phase feat,50,663,94,0.19189543926969488,0.278326602795746
2,Combo 2 +Phase feat,50,6311,94,0.1853978253425436,0.2658833027020947
2,Combo 2 +Phase feat,50,6890,94,0.28172699948574637,1.0512755588248515
2,Combo 2 +Phase feat,80,663,94,0.2015788453690549,0.3178530524345394
2,Combo 2 +Phase feat,80,6311,94,0.18570412219838894,0.26662154830439116
2,Combo 2 +Phase feat,80,6890,94,0.19253648595607026,0.3168925352033411
3,Combo 3 +Attention,30,663,94,0.23861631180377715,0.42566039988262677
3,Combo 3 +Attention,30,6311,94,0.19274569572286404,0.27452640105429166
3,Combo 3 +Attention,30,6890,94,0.17889879612212486,0.26596713596226
3,Combo 3 +Attention,50,663,94,0.25063790666296126,0.5707856253353308
3,Combo 3 +Attention,50,6311,94,0.20036678111299555,0.3329396335379439
3,Combo 3 +Attention,50,6890,94,0.20670383280896126,0.47088272508204815
3,Combo 3 +Attention,80,663,94,0.2030153528172919,0.2800692453063957
3,Combo 3 +Attention,80,6311,94,0.1536982871116476,0.22266078357010957
3,Combo 3 +Attention,80,6890,94,0.32154342215111914,1.4993539605201713
4,Combo 4 +Attn+feat,30,663,94,0.1969677653718502,0.2926981366415242
4,Combo 4 +Attn+feat,30,6311,94,0.17652550910381562,0.2505282685261298
4,Combo 4 +Attn+feat,30,6890,94,0.1881579135326629,0.2653680092437598
4,Combo 4 +Attn+feat,50,663,94,0.19551584822066287,0.3533446138066304
4,Combo 4 +Attn+feat,50,6311,94,0.1882367438458382,0.28655724638126423
4,Combo 4 +Attn+feat,50,6890,94,0.2659950915803301,0.7890665819296693
4,Combo 4 +Attn+feat,80,663,94,0.18208616845151213,0.3012668172648246
4,Combo 4 +Attn+feat,80,6311,94,0.16900229454040527,0.23862676469323513
4,Combo 4 +Attn+feat,80,6890,94,0.17520632135107161,0.3314770051615854
5,Combo 5 +Ratios,30,663,94,0.2197131375049023,0.3750374737891715
5,Combo 5 +Ratios,30,6311,94,0.20300591245610664,0.32117214124753896
5,Combo 5 +Ratios,30,6890,94,0.17738419771194458,0.2727896291036943
5,Combo 5 +Ratios,50,663,94,0.20746415726681974,0.3550457841653346
5,Combo 5 +Ratios,50,6311,94,0.17176908635078592,0.2881970700551211
5,Combo 5 +Ratios,50,6890,94,0.1692608341257623,0.2950811229687816
5,Combo 5 +Ratios,80,663,94,0.2147928831425119,0.35903162336638517
5,Combo 5 +Ratios,80,6311,94,0.1677241325378418,0.259867301852408
5,Combo 5 +Ratios,80,6890,94,0.16561330632960541,0.25337785622807085
6,Combo 6 +Ratio+feat,30,663,94,0.20943699238148142,0.3283026359856228
6,Combo 6 +Ratio+feat,30,6311,94,0.2118847484284259,0.30785075861503275
6,Combo 6 +Ratio+feat,30,6890,94,0.27918628936118267,0.9055765591085647
6,Combo 6 +Ratio+feat,50,663,94,0.21121073276438612,0.30736795918036836
6,Combo 6 +Ratio+feat,50,6311,94,0.16486718299541067,0.23392072360379312
6,Combo 6 +Ratio+feat,50,6890,94,0.30647414288622266,1.09119671654746
6,Combo 6 +Ratio+feat,80,663,94,0.20883917301259142,0.3340971699731569
6,Combo 6 +Ratio+feat,80,6311,94,0.16770666203600296,0.23159488284389917
6,Combo 6 +Ratio+feat,80,6890,94,0.30507181172675274,1.0408276551178428
7,Combo 7 +Ratio+attn,30,663,94,0.20256584755917814,0.33249600847892397
7,Combo 7 +Ratio+attn,30,6311,94,0.2004925304270805,0.3050157226406133
7,Combo 7 +Ratio+attn,30,6890,94,0.20602954194900838,0.28925436623417056
7,Combo 7 +Ratio+attn,50,663,94,0.1859034426668857,0.3317347208605606
7,Combo 7 +Ratio+attn,50,6311,94,0.24261006142230743,0.43391390617824016
7,Combo 7 +Ratio+attn,50,6890,94,0.2438052055683542,0.7650642698454292
7,Combo 7 +Ratio+attn,80,663,94,0.15485555314003152,0.2343655041313771
7,Combo 7 +Ratio+attn,80,6311,94,0.19228030646100958,0.31339007932067275
7,Combo 7 +Ratio+attn,80,6890,94,0.18072373816307555,0.34100042026854427
8,Combo 8 Full IM2PROP,30,663,94,0.1831313726749826,0.33576438462863395
8,Combo 8 Full IM2PROP,30,6311,94,0.21007894962391954,0.3639136274711282
8,Combo 8 Full IM2PROP,30,6890,94,0.1916216510407468,0.28338504064597586
8,Combo 8 Full IM2PROP,50,663,94,0.2084932377997865,0.37239337458127236
8,Combo 8 Full IM2PROP,50,6311,94,0.21084784446878635,0.33871014154063783
8,Combo 8 Full IM2PROP,50,6890,94,0.18784756863370855,0.31828792067504696
8,Combo 8 Full IM2PROP,80,663,94,0.1663597822189331,0.2925091548598382
8,Combo 8 Full IM2PROP,80,6311,94,0.18431151420512099,0.304783569033775
8,Combo 8 Full IM2PROP,80,6890,94,0.1914714828450629,0.2683970084096767
