combo,name,epochs,n_repeats,cv_mae
1,Combo 1 Baseline,30,3,0.2311738530794779
1,Combo 1 Baseline,50,3,0.22272453071377799
1,Combo 1 Baseline,80,3,0.20106374202890603
2,Combo 2 +Phase feat,30,3,0.23780652944077837
2,Combo 2 +Phase feat,50,3,0.2196734213659949
2,Combo 2 +Phase feat,80,3,0.1932731511745047
3,Combo 3 +Attention,30,3,0.20342026788292203
3,Combo 3 +Attention,50,3,0.21923617352830607
3,Combo 3 +Attention,80,3,0.22608568736001955
4,Combo 4 +Attn+feat,30,3,0.18721706266944288
4,Combo 4 +Attn+feat,50,3,0.21658256121561031
4,Combo 4 +Attn+feat,80,3,0.17543159478099632
5,Combo 5 +Ratios,30,3,0.20003441589098447
5,Combo 5 +Ratios,50,3,0.18283135924778934
5,Combo 5 +Ratios,80,3,0.18271010733665305
6,Combo 6 +Ratio+feat,30,3,0.23350267672369668
6,Combo 6 +Ratio+feat,50,3,0.22751735288200647
6,Combo 6 +Ratio+feat,80,3,0.22720588225844907
7,Combo 7 +Ratio+attn,30,3,0.203029306645089
7,Combo 7 +Ratio+attn,50,3,0.2241062365525158
7,Combo 7 +Ratio+attn,80,3,0.17595319925470554
8,Combo 8 Full IM2PROP,30,3,0.1949439911132163
8,Combo 8 Full IM2PROP,50,3,0.20239621696742716
8,Combo 8 Full IM2PROP,80,3,0.18071425975637234
